username,user link,repo name,repo link,star
mrdoob,https://github.com/mrdoob,three.js,https://github.com/mrdoob/three.js,96.8k
pmndrs,https://github.com/pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,24.9k
libgdx,https://github.com/libgdx,libgdx,https://github.com/libgdx/libgdx,22.4k
BabylonJS,https://github.com/BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,21.9k
ssloy,https://github.com/ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,18.7k
lettier,https://github.com/lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,16.6k
FreeCAD,https://github.com/FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,16.3k
aframevr,https://github.com/aframevr,aframe,https://github.com/aframevr/aframe,15.9k
CesiumGS,https://github.com/CesiumGS,cesium,https://github.com/CesiumGS/cesium,11.4k
blender,https://github.com/blender,blender,https://github.com/blender/blender,10.6k
MonoGame,https://github.com/MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,10.5k
metafizzy,https://github.com/metafizzy,zdog,https://github.com/metafizzy/zdog,10.1k
isl-org,https://github.com/isl-org,Open3D,https://github.com/isl-org/Open3D,10k
timzhang642,https://github.com/timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9.3k
a1studmuffin,https://github.com/a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7.5k
nerfstudio-project,https://github.com/nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,7.4k
domlysz,https://github.com/domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,7k
FyroxEngine,https://github.com/FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,6.9k
google,https://github.com/google,model-viewer,https://github.com/google/model-viewer,6.2k
openscad,https://github.com/openscad,openscad,https://github.com/openscad/openscad,6.2k
