username,user link,repo name,repo link,star
jwasham,https://github.com/jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,275k
trekhleb,https://github.com/trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,179k
TheAlgorithms,https://github.com/TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,175k
CyC2018,https://github.com/CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,170k
yangshun,https://github.com/yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,104k
kdn251,https://github.com/kdn251,interviews,https://github.com/kdn251/interviews,60.8k
krahets,https://github.com/krahets,hello-algo,https://github.com/krahets/hello-algo,58.4k
TheAlgorithms,https://github.com/TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,55.3k
azl397985856,https://github.com/azl397985856,leetcode,https://github.com/azl397985856/leetcode,53.1k
algorithm-visualizer,https://github.com/algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,45.6k
youngyangyang04,https://github.com/youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,44.5k
huihut,https://github.com/huihut,interview,https://github.com/huihut/interview,31.6k
halfrost,https://github.com/halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,31.2k
TheAlgorithms,https://github.com/TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,30.2k
donnemartin,https://github.com/donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,28.3k
TheAlgorithms,https://github.com/TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,28.1k
crossoverJie,https://github.com/crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27k
keon,https://github.com/keon,algorithms,https://github.com/keon/algorithms,23.3k
mxgmn,https://github.com/mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,22.3k
trekhleb,https://github.com/trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,22.2k
