username,user link,repo name,repo link,star
amphp,https://github.com/amphp,amp,https://github.com/amphp/amp,4.1k
danog,https://github.com/danog,MadelineProto,https://github.com/danog/MadelineProto,2.6k
unreal4u,https://github.com/unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,773
amphp,https://github.com/amphp,parallel,https://github.com/amphp/parallel,713
amphp,https://github.com/amphp,http-client,https://github.com/amphp/http-client,680
amphp,https://github.com/amphp,byte-stream,https://github.com/amphp/byte-stream,351
php-service-bus,https://github.com/php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,346
amphp,https://github.com/amphp,mysql,https://github.com/amphp/mysql,333
amphp,https://github.com/amphp,parallel-functions,https://github.com/amphp/parallel-functions,263
amphp,https://github.com/amphp,process,https://github.com/amphp/process,222
xtrime-ru,https://github.com/xtrime-ru,TelegramRSS,https://github.com/xtrime-ru/TelegramRSS,203
amphp,https://github.com/amphp,socket,https://github.com/amphp/socket,203
amphp,https://github.com/amphp,sync,https://github.com/amphp/sync,150
amphp,https://github.com/amphp,redis,https://github.com/amphp/redis,145
amphp,https://github.com/amphp,dns,https://github.com/amphp/dns,143
amphp,https://github.com/amphp,websocket-client,https://github.com/amphp/websocket-client,128
kelunik,https://github.com/kelunik,acme,https://github.com/kelunik/acme,121
amphp,https://github.com/amphp,websocket-server,https://github.com/amphp/websocket-server,108
amphp,https://github.com/amphp,serialization,https://github.com/amphp/serialization,103
amphp,https://github.com/amphp,cache,https://github.com/amphp/cache,92
