username,user link,repo name,repo link,star
flutter,https://github.com/flutter,flutter,https://github.com/flutter/flutter,159k
facebook,https://github.com/facebook,react-native,https://github.com/facebook/react-native,114k
justjavac,https://github.com/justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,107k
Genymobile,https://github.com/Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,96.5k
Hack-with-Github,https://github.com/Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,73.2k
Solido,https://github.com/Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,49.8k
google,https://github.com/google,material-design-icons,https://github.com/google/material-design-icons,49.2k
wasabeef,https://github.com/wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,48.2k
square,https://github.com/square,okhttp,https://github.com/square/okhttp,44.9k
android,https://github.com/android,architecture-samples,https://github.com/android/architecture-samples,43.5k
square,https://github.com/square,retrofit,https://github.com/square/retrofit,42.3k
laurent22,https://github.com/laurent22,joplin,https://github.com/laurent22/joplin,40.3k
dcloudio,https://github.com/dcloudio,uni-app,https://github.com/dcloudio/uni-app,39k
appwrite,https://github.com/appwrite,appwrite,https://github.com/appwrite/appwrite,38.8k
fastlane,https://github.com/fastlane,fastlane,https://github.com/fastlane/fastlane,38.3k
skylot,https://github.com/skylot,jadx,https://github.com/skylot/jadx,37.7k
PhilJay,https://github.com/PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37.1k
airbnb,https://github.com/airbnb,lottie-android,https://github.com/airbnb/lottie-android,34.4k
shadowsocks,https://github.com/shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,34.4k
bumptech,https://github.com/bumptech,glide,https://github.com/bumptech/glide,34.1k
