username,user link,repo name,repo link,star
justjavac,https://github.com/justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,107k
angular,https://github.com/angular,angular,https://github.com/angular/angular,93.1k
storybookjs,https://github.com/storybookjs,storybook,https://github.com/storybookjs/storybook,81.4k
leonardomso,https://github.com/leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,60.3k
ionic-team,https://github.com/ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,50k
prettier,https://github.com/prettier,prettier,https://github.com/prettier/prettier,47.6k
Asabeneh,https://github.com/Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,39.9k
SheetJS,https://github.com/SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,34.1k
angular,https://github.com/angular,angular-cli,https://github.com/angular/angular-cli,26.4k
angular,https://github.com/angular,components,https://github.com/angular/components,23.9k
NativeScript,https://github.com/NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,23.4k
goldbergyoni,https://github.com/goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,23k
jhipster,https://github.com/jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,21.1k
nrwl,https://github.com/nrwl,nx,https://github.com/nrwl/nx,20.7k
wailsapp,https://github.com/wailsapp,wails,https://github.com/wailsapp/wails,20.2k
pubkey,https://github.com/pubkey,rxdb,https://github.com/pubkey/rxdb,20.1k
sudheerj,https://github.com/sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,20k
teambit,https://github.com/teambit,bit,https://github.com/teambit/bit,17.3k
sweetalert2,https://github.com/sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,16.5k
jasontaylordev,https://github.com/jasontaylordev,CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture,14.6k
