username,user link,repo name,repo link,star
bregman-arie,https://github.com/bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,60.3k
ansible,https://github.com/ansible,ansible,https://github.com/ansible/ansible,59.8k
trailofbits,https://github.com/trailofbits,algo,https://github.com/trailofbits/algo,28k
MichaelCade,https://github.com/MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,24.6k
StreisandEffect,https://github.com/StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,23.1k
kubernetes-sigs,https://github.com/kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,14.9k
ansible,https://github.com/ansible,awx,https://github.com/ansible/awx,13k
easzlab,https://github.com/easzlab,kubeasz,https://github.com/easzlab/kubeasz,9.8k
ansible-semaphore,https://github.com/ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,8.6k
geerlingguy,https://github.com/geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,7.7k
khuedoan,https://github.com/khuedoan,homelab,https://github.com/khuedoan/homelab,7.4k
Tikam02,https://github.com/Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,7.4k
netbootxyz,https://github.com/netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,6.9k
geerlingguy,https://github.com/geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,5.6k
rundeck,https://github.com/rundeck,rundeck,https://github.com/rundeck/rundeck,5.2k
KubeOperator,https://github.com/KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4.9k
clong,https://github.com/clong,DetectionLab,https://github.com/clong/DetectionLab,4.4k
ansible,https://github.com/ansible,molecule,https://github.com/ansible/molecule,3.7k
opendevops-cn,https://github.com/opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3.6k
dev-sec,https://github.com/dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,3.5k
