username,user link,repo name,repo link,star
public-apis,https://github.com/public-apis,public-apis,https://github.com/public-apis/public-apis,274k
neovim,https://github.com/neovim,neovim,https://github.com/neovim/neovim,72.6k
tiangolo,https://github.com/tiangolo,fastapi,https://github.com/tiangolo/fastapi,66.8k
strapi,https://github.com/strapi,strapi,https://github.com/strapi/strapi,58.2k
hoppscotch,https://github.com/hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,58k
ocornut,https://github.com/ocornut,imgui,https://github.com/ocornut/imgui,53.1k
slatedocs,https://github.com/slatedocs,slate,https://github.com/slatedocs/slate,35.7k
Kong,https://github.com/Kong,insomnia,https://github.com/Kong/insomnia,31.9k
trpc,https://github.com/trpc,trpc,https://github.com/trpc/trpc,30.8k
httpie,https://github.com/httpie,cli,https://github.com/httpie/cli,30.7k
hasura,https://github.com/hasura,graphql-engine,https://github.com/hasura/graphql-engine,30.6k
Binaryify,https://github.com/Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,30.1k
ccxt,https://github.com/ccxt,ccxt,https://github.com/ccxt/ccxt,30k
encode,https://github.com/encode,django-rest-framework,https://github.com/encode/django-rest-framework,26.9k
StanGirard,https://github.com/StanGirard,quivr,https://github.com/StanGirard/quivr,26.9k
YMFE,https://github.com/YMFE,yapi,https://github.com/YMFE/yapi,26.8k
littlecodersh,https://github.com/littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,24.6k
directus,https://github.com/directus,directus,https://github.com/directus/directus,24.3k
microsoft,https://github.com/microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,22.2k
shieldfy,https://github.com/shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,21.7k
