username,user link,repo name,repo link,star
arendst,https://github.com/arendst,Tasmota,https://github.com/arendst/Tasmota,20.8k
MarlinFirmware,https://github.com/MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,15.6k
tinygo-org,https://github.com/tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,13.9k
arduino,https://github.com/arduino,Arduino,https://github.com/arduino/Arduino,13.9k
rwaldron,https://github.com/rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,13.1k
SpacehuhnTech,https://github.com/SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,12.5k
espressif,https://github.com/espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,11.9k
gurugio,https://github.com/gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,9.2k
hybridgroup,https://github.com/hybridgroup,gobot,https://github.com/hybridgroup/gobot,8.6k
platformio,https://github.com/platformio,platformio-core,https://github.com/platformio/platformio-core,7.3k
bblanchon,https://github.com/bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6.4k
tzapu,https://github.com/tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,6.1k
olikraus,https://github.com/olikraus,u8g2,https://github.com/olikraus/u8g2,4.5k
Arduino-IRremote,https://github.com/Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,4.2k
ClemensElflein,https://github.com/ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,4.2k
arduino,https://github.com/arduino,arduino-cli,https://github.com/arduino/arduino-cli,4.1k
hybridgroup,https://github.com/hybridgroup,cylon,https://github.com/hybridgroup/cylon,4k
Serial-Studio,https://github.com/Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,3.8k
justcallmekoko,https://github.com/justcallmekoko,ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,3.8k
blynkkk,https://github.com/blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3.8k
