username,user link,repo name,repo link,star
bitwarden,https://github.com/bitwarden,server,https://github.com/bitwarden/server,13.8k
dotnet,https://github.com/dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,12.1k
abpframework,https://github.com/abpframework,abp,https://github.com/abpframework/abp,11.9k
aspnetboilerplate,https://github.com/aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,11.4k
nopSolutions,https://github.com/nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,8.7k
ElectronNET,https://github.com/ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,7k
thangchung,https://github.com/thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6.6k
RicoSuter,https://github.com/RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,6.3k
FastEndpoints,https://github.com/FastEndpoints,FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,3.5k
dotnet,https://github.com/dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2.9k
smartstore,https://github.com/smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2.6k
serenity-is,https://github.com/serenity-is,Serenity,https://github.com/serenity-is/Serenity,2.5k
mjebrahimi,https://github.com/mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2.5k
JimBobSquarePants,https://github.com/JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2.5k
loic-sharma,https://github.com/loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2.5k
TrilonIO,https://github.com/TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1.5k
TrilonIO,https://github.com/TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1.2k
MarimerLLC,https://github.com/MarimerLLC,csla,https://github.com/MarimerLLC/csla,1.2k
smartstore,https://github.com/smartstore,Smartstore,https://github.com/smartstore/Smartstore,962
antonioCoco,https://github.com/antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,831
