username,user link,repo name,repo link,star
atom,https://github.com/atom,atom,https://github.com/atom/atom,59.8k
miniflux,https://github.com/miniflux,v2,https://github.com/miniflux/v2,5.7k
themerdev,https://github.com/themerdev,themer,https://github.com/themerdev/themer,5.3k
shd101wyy,https://github.com/shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,4k
nteract,https://github.com/nteract,hydrogen,https://github.com/nteract/hydrogen,3.9k
atom,https://github.com/atom,teletype,https://github.com/atom/teletype,2.4k
mmcdole,https://github.com/mmcdole,gofeed,https://github.com/mmcdole/gofeed,2.3k
NaiboWang,https://github.com/NaiboWang,CommandlineConfig,https://github.com/NaiboWang/CommandlineConfig,2k
feeddd,https://github.com/feeddd,feeds,https://github.com/feeddd/feeds,2k
mehcode,https://github.com/mehcode,awesome-atom,https://github.com/mehcode/awesome-atom,1.9k
kurtmckee,https://github.com/kurtmckee,feedparser,https://github.com/kurtmckee/feedparser,1.8k
ocaml,https://github.com/ocaml,merlin,https://github.com/ocaml/merlin,1.5k
joefitzgerald,https://github.com/joefitzgerald,go-plus,https://github.com/joefitzgerald/go-plus,1.5k
simplepie,https://github.com/simplepie,simplepie,https://github.com/simplepie/simplepie,1.5k
Glavin001,https://github.com/Glavin001,atom-beautify,https://github.com/Glavin001/atom-beautify,1.5k
t9md,https://github.com/t9md,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,1.4k
MagicStack,https://github.com/MagicStack,MagicPython,https://github.com/MagicStack/MagicPython,1.4k
fwcd,https://github.com/fwcd,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,1.4k
file-icons,https://github.com/file-icons,atom,https://github.com/file-icons/atom,1.3k
atom,https://github.com/atom,apm,https://github.com/atom/apm,1.3k
