username,user link,repo name,repo link,star
sindresorhus,https://github.com/sindresorhus,awesome,https://github.com/sindresorhus/awesome,285k
vinta,https://github.com/vinta,awesome-python,https://github.com/vinta/awesome-python,194k
awesome-selfhosted,https://github.com/awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,164k
trimstray,https://github.com/trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,118k
avelino,https://github.com/avelino,awesome-go,https://github.com/avelino/awesome-go,115k
521xueweihan,https://github.com/521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,80.7k
papers-we-love,https://github.com/papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,80.1k
Hack-with-Github,https://github.com/Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,73.2k
jaywcjlove,https://github.com/jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,67.6k
DopplerHQ,https://github.com/DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,61.8k
MunGell,https://github.com/MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,60.3k
enaqx,https://github.com/enaqx,awesome-react,https://github.com/enaqx/awesome-react,60.1k
sindresorhus,https://github.com/sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,54.3k
fffaraz,https://github.com/fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,52.7k
prakhar1989,https://github.com/prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,51.8k
binhnguyennus,https://github.com/binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,50.4k
Solido,https://github.com/Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,49.8k
wasabeef,https://github.com/wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,48.2k
vsouza,https://github.com/vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,44.8k
tiimgreen,https://github.com/tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,43.9k
