username,user link,repo name,repo link,star
bregman-arie,https://github.com/bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,60.3k
ByteByteGoHq,https://github.com/ByteByteGoHq,system-design-101,https://github.com/ByteByteGoHq/system-design-101,50.8k
localstack,https://github.com/localstack,localstack,https://github.com/localstack/localstack,50.8k
serverless,https://github.com/serverless,serverless,https://github.com/serverless/serverless,45.7k
donnemartin,https://github.com/donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,26k
sst,https://github.com/sst,sst,https://github.com/sst/sst,18.9k
pulumi,https://github.com/pulumi,pulumi,https://github.com/pulumi/pulumi,18.6k
kubernetes-sigs,https://github.com/kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,14.9k
aws,https://github.com/aws,aws-cli,https://github.com/aws/aws-cli,14.6k
getsops,https://github.com/getsops,sops,https://github.com/getsops/sops,14.5k
ramitsurana,https://github.com/ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,14.5k
donnemartin,https://github.com/donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,11.9k
caprover,https://github.com/caprover,caprover,https://github.com/caprover/caprover,11.6k
GoogleCloudPlatform,https://github.com/GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,11.2k
aws,https://github.com/aws,aws-cdk,https://github.com/aws/aws-cdk,10.9k
apereo,https://github.com/apereo,cas,https://github.com/apereo/cas,10.5k
aws,https://github.com/aws,chalice,https://github.com/aws/chalice,10.1k
infracost,https://github.com/infracost,infracost,https://github.com/infracost/infracost,9.9k
aws-amplify,https://github.com/aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,9.3k
google,https://github.com/google,go-cloud,https://github.com/google/go-cloud,9.3k
