username,user link,repo name,repo link,star
bregman-arie,https://github.com/bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,60.3k
microsoft,https://github.com/microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,22.3k
pulumi,https://github.com/pulumi,pulumi,https://github.com/pulumi/pulumi,18.6k
recommenders-team,https://github.com/recommenders-team,recommenders,https://github.com/recommenders-team/recommenders,17k
getsops,https://github.com/getsops,sops,https://github.com/getsops/sops,14.5k
ramitsurana,https://github.com/ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,14.5k
Azure,https://github.com/Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,13.5k
caprover,https://github.com/caprover,caprover,https://github.com/caprover/caprover,11.6k
infracost,https://github.com/infracost,infracost,https://github.com/infracost/infracost,9.9k
google,https://github.com/google,go-cloud,https://github.com/google/go-cloud,9.3k
microsoft,https://github.com/microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,9.2k
prowler-cloud,https://github.com/prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,9k
microsoft,https://github.com/microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7.4k
Netflix,https://github.com/Netflix,metaflow,https://github.com/Netflix/metaflow,7.3k
midwayjs,https://github.com/midwayjs,midway,https://github.com/midwayjs/midway,7k
milanm,https://github.com/milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,6.9k
node-formidable,https://github.com/node-formidable,formidable,https://github.com/node-formidable/formidable,6.9k
budtmo,https://github.com/budtmo,docker-android,https://github.com/budtmo/docker-android,6.6k
thangchung,https://github.com/thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6.6k
aquasecurity,https://github.com/aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,6.4k
