username,user link,repo name,repo link,star
babel,https://github.com/babel,babel,https://github.com/babel/babel,42.7k
swc-project,https://github.com/swc-project,swc,https://github.com/swc-project/swc,29.3k
nylas,https://github.com/nylas,nylas-mail,https://github.com/nylas/nylas-mail,24.8k
electron-react-boilerplate,https://github.com/electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,22.3k
SimulatedGREG,https://github.com/SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15.4k
grab,https://github.com/grab,front-end-guide,https://github.com/grab/front-end-guide,15k
jamiebuilds,https://github.com/jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11.9k
developit,https://github.com/developit,htm,https://github.com/developit/htm,8.4k
grommet,https://github.com/grommet,grommet,https://github.com/grommet/grommet,8.3k
ben-rogerson,https://github.com/ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,7.7k
angular-fullstack,https://github.com/angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6.1k
fkling,https://github.com/fkling,astexplorer,https://github.com/fkling/astexplorer,5.8k
documentationjs,https://github.com/documentationjs,documentation,https://github.com/documentationjs/documentation,5.8k
insin,https://github.com/insin,nwb,https://github.com/insin/nwb,5.6k
thinkjs,https://github.com/thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5.3k
egoist,https://github.com/egoist,poi,https://github.com/egoist/poi,5.2k
thx,https://github.com/thx,gogocode,https://github.com/thx/gogocode,5k
ast-grep,https://github.com/ast-grep,ast-grep,https://github.com/ast-grep/ast-grep,4.9k
duxianwei520,https://github.com/duxianwei520,react,https://github.com/duxianwei520/react,4.9k
transitive-bullshit,https://github.com/transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4.8k
