username,user link,repo name,repo link,star
jlevy,https://github.com/jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,143k
nvm-sh,https://github.com/nvm-sh,nvm,https://github.com/nvm-sh/nvm,72.9k
junegunn,https://github.com/junegunn,fzf,https://github.com/junegunn/fzf,56.7k
google,https://github.com/google,zx,https://github.com/google/zx,39.4k
starship,https://github.com/starship,starship,https://github.com/starship/starship,38.5k
LeCoupa,https://github.com/LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,35.8k
dylanaraps,https://github.com/dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,35.4k
acmesh-official,https://github.com/acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,34.7k
koalaman,https://github.com/koalaman,shellcheck,https://github.com/koalaman/shellcheck,34.1k
alebcay,https://github.com/alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,29.7k
mathiasbynens,https://github.com/mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,29.5k
jaywcjlove,https://github.com/jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,26.8k
withfig,https://github.com/withfig,autocomplete,https://github.com/withfig/autocomplete,23.7k
dylanaraps,https://github.com/dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,19.6k
asdf-vm,https://github.com/asdf-vm,asdf,https://github.com/asdf-vm/asdf,19.4k
kingToolbox,https://github.com/kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,18.4k
Nyr,https://github.com/Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,18k
warpdotdev,https://github.com/warpdotdev,Warp,https://github.com/warpdotdev/Warp,16.7k
charmbracelet,https://github.com/charmbracelet,gum,https://github.com/charmbracelet/gum,15.7k
rbenv,https://github.com/rbenv,rbenv,https://github.com/rbenv/rbenv,15.5k
