username,user link,repo name,repo link,star
bitcoin,https://github.com/bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,73.2k
ccxt,https://github.com/ccxt,ccxt,https://github.com/ccxt/ccxt,30k
freqtrade,https://github.com/freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,24k
HelloZeroNet,https://github.com/HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,18.1k
solana-labs,https://github.com/solana-labs,solana,https://github.com/solana-labs/solana,11.1k
bbfamily,https://github.com/bbfamily,abu,https://github.com/bbfamily/abu,10.8k
askmike,https://github.com/askmike,gekko,https://github.com/askmike/gekko,10k
dvf,https://github.com/dvf,blockchain,https://github.com/dvf/blockchain,7.6k
lightningnetwork,https://github.com/lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7.3k
lbryio,https://github.com/lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7.2k
spesmilo,https://github.com/spesmilo,electrum,https://github.com/spesmilo/electrum,6.8k
yeasy,https://github.com/yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6.6k
butor,https://github.com/butor,blackbird,https://github.com/butor/blackbird,5.8k
btcsuite,https://github.com/btcsuite,btcd,https://github.com/btcsuite/btcd,5.7k
btcpayserver,https://github.com/btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,5.6k
getumbrel,https://github.com/getumbrel,umbrel,https://github.com/getumbrel/umbrel,5.4k
bitcoinjs,https://github.com/bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,5.3k
UFund-Me,https://github.com/UFund-Me,Qbot,https://github.com/UFund-Me/Qbot,5.1k
jesse-ai,https://github.com/jesse-ai,jesse,https://github.com/jesse-ai/jesse,5k
anders94,https://github.com/anders94,blockchain-demo,https://github.com/anders94/blockchain-demo,5k
