username,user link,repo name,repo link,star
Genymobile,https://github.com/Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,96.5k
neovim,https://github.com/neovim,neovim,https://github.com/neovim/neovim,72.6k
obsproject,https://github.com/obsproject,obs-studio,https://github.com/obsproject/obs-studio,53.4k
fffaraz,https://github.com/fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,52.7k
git,https://github.com/git,git,https://github.com/git/git,48.4k
FFmpeg,https://github.com/FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,40.3k
serhii-londar,https://github.com/serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,38.2k
vim,https://github.com/vim,vim,https://github.com/vim/vim,33.9k
curl,https://github.com/curl,curl,https://github.com/curl/curl,32.8k
huihut,https://github.com/huihut,interview,https://github.com/huihut/interview,31.6k
ggreer,https://github.com/ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,25.4k
mpv-player,https://github.com/mpv-player,mpv,https://github.com/mpv-player/mpv,24.8k
ossrs,https://github.com/ossrs,srs,https://github.com/ossrs/srs,23.5k
google,https://github.com/google,flatbuffers,https://github.com/google/flatbuffers,21.6k
ruby,https://github.com/ruby,ruby,https://github.com/ruby/ruby,21.1k
kovidgoyal,https://github.com/kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,20.9k
microsoft,https://github.com/microsoft,vcpkg,https://github.com/microsoft/vcpkg,20.6k
radareorg,https://github.com/radareorg,radare2,https://github.com/radareorg/radare2,19.1k
hashcat,https://github.com/hashcat,hashcat,https://github.com/hashcat/hashcat,19k
jarun,https://github.com/jarun,nnn,https://github.com/jarun/nnn,17.6k
