username,user link,repo name,repo link,star
iamadamdev,https://github.com/iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,44.5k
jaywcjlove,https://github.com/jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,26.8k
refined-github,https://github.com/refined-github,refined-github,https://github.com/refined-github/refined-github,22.4k
openai-translator,https://github.com/openai-translator,openai-translator,https://github.com/openai-translator/openai-translator,19.6k
darkreader,https://github.com/darkreader,darkreader,https://github.com/darkreader/darkreader,18k
checkly,https://github.com/checkly,headless-recorder,https://github.com/checkly/headless-recorder,14.9k
dailydotdev,https://github.com/dailydotdev,daily,https://github.com/dailydotdev/daily,14.8k
unbug,https://github.com/unbug,codelf,https://github.com/unbug/codelf,13.9k
wong2,https://github.com/wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13.3k
gildas-lormeau,https://github.com/gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,12.8k
immersive-translate,https://github.com/immersive-translate,immersive-translate,https://github.com/immersive-translate/immersive-translate,12.5k
Anarios,https://github.com/Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,12k
crimx,https://github.com/crimx,ext-saladict,https://github.com/crimx/ext-saladict,11.4k
listen1,https://github.com/listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,10.8k
josStorer,https://github.com/josStorer,chatGPTBox,https://github.com/josStorer/chatGPTBox,9.2k
chathub-dev,https://github.com/chathub-dev,chathub,https://github.com/chathub-dev/chathub,9k
alyssaxuu,https://github.com/alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,8.9k
AutomaApp,https://github.com/AutomaApp,automa,https://github.com/AutomaApp/automa,8.8k
appbaseio,https://github.com/appbaseio,dejavu,https://github.com/appbaseio/dejavu,8.3k
ajayyy,https://github.com/ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,8.2k
