username,user link,repo name,repo link,star
electron,https://github.com/electron,electron,https://github.com/electron/electron,110k
puppeteer,https://github.com/puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,85.7k
microsoft,https://github.com/microsoft,playwright,https://github.com/microsoft/playwright,57.9k
iamadamdev,https://github.com/iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,44.5k
FiloSottile,https://github.com/FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,44.1k
jaywcjlove,https://github.com/jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,26.8k
ovity,https://github.com/ovity,octotree,https://github.com/ovity/octotree,22.6k
segment-boneyard,https://github.com/segment-boneyard,nightmare,https://github.com/segment-boneyard/nightmare,19.5k
checkly,https://github.com/checkly,headless-recorder,https://github.com/checkly/headless-recorder,14.9k
google,https://github.com/google,WebFundamentals,https://github.com/google/WebFundamentals,13.8k
GoogleChrome,https://github.com/GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,13.7k
schickling,https://github.com/schickling,chromeless,https://github.com/schickling/chromeless,13.2k
gildas-lormeau,https://github.com/gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,12.8k
casesandberg,https://github.com/casesandberg,react-color,https://github.com/casesandberg/react-color,11.7k
crimx,https://github.com/crimx,ext-saladict,https://github.com/crimx/ext-saladict,11.4k
MetaMask,https://github.com/MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,11k
chromedp,https://github.com/chromedp,chromedp,https://github.com/chromedp/chromedp,9.9k
moonD4rk,https://github.com/moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,9.4k
ajayyy,https://github.com/ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,8.2k
uBlock-LLC,https://github.com/uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8.2k
