username,user link,repo name,repo link,star
ohmyzsh,https://github.com/ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,166k
junegunn,https://github.com/junegunn,fzf,https://github.com/junegunn/fzf,56.7k
sherlock-project,https://github.com/sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,46.1k
sharkdp,https://github.com/sharkdp,bat,https://github.com/sharkdp/bat,44.6k
BurntSushi,https://github.com/BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,42.5k
jesseduffield,https://github.com/jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,41.4k
wagoodman,https://github.com/wagoodman,dive,https://github.com/wagoodman/dive,41k
google,https://github.com/google,zx,https://github.com/google/zx,39.4k
chubin,https://github.com/chubin,cheat.sh,https://github.com/chubin/cheat.sh,36.8k
n8n-io,https://github.com/n8n-io,n8n,https://github.com/n8n-io/n8n,36.7k
spf13,https://github.com/spf13,cobra,https://github.com/spf13/cobra,34.7k
cli,https://github.com/cli,cli,https://github.com/cli/cli,34.2k
httpie,https://github.com/httpie,cli,https://github.com/httpie/cli,30.7k
sharkdp,https://github.com/sharkdp,fd,https://github.com/sharkdp/fd,30.2k
alebcay,https://github.com/alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,29.7k
ibraheemdev,https://github.com/ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,29k
acheong08,https://github.com/acheong08,ChatGPT,https://github.com/acheong08/ChatGPT,27.7k
tqdm,https://github.com/tqdm,tqdm,https://github.com/tqdm/tqdm,26.8k
angular,https://github.com/angular,angular-cli,https://github.com/angular/angular-cli,26.4k
google,https://github.com/google,python-fire,https://github.com/google/python-fire,25.8k
