username,user link,repo name,repo link,star
metabase,https://github.com/metabase,metabase,https://github.com/metabase/metabase,35.4k
logseq,https://github.com/logseq,logseq,https://github.com/logseq/logseq,27.5k
penpot,https://github.com/penpot,penpot,https://github.com/penpot/penpot,25.2k
deeplearning4j,https://github.com/deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,13.3k
LightTable,https://github.com/LightTable,LightTable,https://github.com/LightTable/LightTable,11.7k
kanaka,https://github.com/kanaka,mal,https://github.com/kanaka/mal,9.7k
lk-geimfari,https://github.com/lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,9.1k
tonsky,https://github.com/tonsky,datascript,https://github.com/tonsky/datascript,5.3k
reagent-project,https://github.com/reagent-project,reagent,https://github.com/reagent-project/reagent,4.7k
izhangzhihao,https://github.com/izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,4.2k
riemann,https://github.com/riemann,riemann,https://github.com/riemann/riemann,4.2k
weavejester,https://github.com/weavejester,compojure,https://github.com/weavejester/compojure,4.1k
bbatsov,https://github.com/bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,4k
status-im,https://github.com/status-im,status-mobile,https://github.com/status-im/status-mobile,3.8k
ring-clojure,https://github.com/ring-clojure,ring,https://github.com/ring-clojure/ring,3.7k
babashka,https://github.com/babashka,babashka,https://github.com/babashka/babashka,3.7k
clojure-emacs,https://github.com/clojure-emacs,cider,https://github.com/clojure-emacs/cider,3.5k
defold,https://github.com/defold,defold,https://github.com/defold/defold,3.5k
viebel,https://github.com/viebel,klipse,https://github.com/viebel/klipse,3.1k
tallesl,https://github.com/tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,3k
