username,user link,repo name,repo link,star
ovity,https://github.com/ovity,octotree,https://github.com/ovity/octotree,22.6k
gitpod-io,https://github.com/gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,11.9k
reviewdog,https://github.com/reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,7k
danger,https://github.com/danger,danger,https://github.com/danger/danger,5.3k
danger,https://github.com/danger,danger-js,https://github.com/danger/danger-js,5.1k
joho,https://github.com/joho,awesome-code-review,https://github.com/joho/awesome-code-review,4.1k
Codium-ai,https://github.com/Codium-ai,pr-agent,https://github.com/Codium-ai/pr-agent,3k
ajinabraham,https://github.com/ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2.3k
microsoft,https://github.com/microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,2.1k
crev-dev,https://github.com/crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,2k
houndci,https://github.com/houndci,hound,https://github.com/houndci/hound,1.9k
mbj,https://github.com/mbj,mutant,https://github.com/mbj/mutant,1.9k
Tencent,https://github.com/Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1.5k
reviewboard,https://github.com/reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1.5k
ryanmcdermott,https://github.com/ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1.4k
bit4woo,https://github.com/bit4woo,python_sec,https://github.com/bit4woo/python_sec,1.3k
code-review-checklists,https://github.com/code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1.2k
coderabbitai,https://github.com/coderabbitai,ai-pr-reviewer,https://github.com/coderabbitai/ai-pr-reviewer,1.1k
mattzcarey,https://github.com/mattzcarey,code-review-gpt,https://github.com/mattzcarey/code-review-gpt,1.1k
TeamCodeStream,https://github.com/TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,914
