username,user link,repo name,repo link,star
vercel,https://github.com/vercel,next.js,https://github.com/vercel/next.js,116k
rust-lang,https://github.com/rust-lang,rust,https://github.com/rust-lang/rust,88.7k
sveltejs,https://github.com/sveltejs,svelte,https://github.com/sveltejs/svelte,74.8k
webpack,https://github.com/webpack,webpack,https://github.com/webpack/webpack,63.8k
gatsbyjs,https://github.com/gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,54.9k
JetBrains,https://github.com/JetBrains,kotlin,https://github.com/JetBrains/kotlin,46.7k
parcel-bundler,https://github.com/parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,42.9k
babel,https://github.com/babel,babel,https://github.com/babel/babel,42.7k
FuelLabs,https://github.com/FuelLabs,sway,https://github.com/FuelLabs/sway,39.8k
evanw,https://github.com/evanw,esbuild,https://github.com/evanw/esbuild,36.6k
vlang,https://github.com/vlang,v,https://github.com/vlang/v,35.1k
carbon-language,https://github.com/carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,31.8k
markedjs,https://github.com/markedjs,marked,https://github.com/markedjs/marked,31.2k
swc-project,https://github.com/swc-project,swc,https://github.com/swc-project/swc,29.3k
ziglang,https://github.com/ziglang,zig,https://github.com/ziglang/zig,28k
typst,https://github.com/typst,typst,https://github.com/typst/typst,24.7k
vercel,https://github.com/vercel,pkg,https://github.com/vercel/pkg,24.1k
v8,https://github.com/v8,v8,https://github.com/v8/v8,22.2k
oracle,https://github.com/oracle,graal,https://github.com/oracle/graal,19.4k
AssemblyScript,https://github.com/AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,16.2k
