username,user link,repo name,repo link,star
CSSEGISandData,https://github.com/CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,29.2k
nytimes,https://github.com/nytimes,covid-19-data,https://github.com/nytimes/covid-19-data,7k
covid19india,https://github.com/covid19india,covid19india-react,https://github.com/covid19india/covid19india-react,6.9k
Tokyo-Metro-Gov,https://github.com/Tokyo-Metro-Gov,covid19,https://github.com/Tokyo-Metro-Gov/covid19,6.3k
owid,https://github.com/owid,covid-19-data,https://github.com/owid/covid-19-data,5.6k
pcm-dpc,https://github.com/pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19,3.9k
ieee8023,https://github.com/ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,3k
geohot,https://github.com/geohot,corona,https://github.com/geohot/corona,2.5k
disease-sh,https://github.com/disease-sh,API,https://github.com/disease-sh/API,2.4k
WorldHealthOrganization,https://github.com/WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app,2.1k
corona-warn-app,https://github.com/corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server,1.9k
ahmadawais,https://github.com/ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli,1.9k
github,https://github.com/github,covid19-dashboard,https://github.com/github/covid19-dashboard,1.6k
cirosantilli,https://github.com/cirosantilli,china-dictatorship,https://github.com/cirosantilli/china-dictatorship,1.6k
ExpDev07,https://github.com/ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,1.6k
soroushchehresa,https://github.com/soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,1.5k
mhdhejazi,https://github.com/mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,1.5k
chandrikadeb7,https://github.com/chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,1.5k
chrismattmann,https://github.com/chrismattmann,tika-python,https://github.com/chrismattmann/tika-python,1.4k
neherlab,https://github.com/neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,1.4k
