username,user link,repo name,repo link,star
CyC2018,https://github.com/CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,170k
practical-tutorials,https://github.com/practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,149k
azl397985856,https://github.com/azl397985856,leetcode,https://github.com/azl397985856/leetcode,53.1k
fffaraz,https://github.com/fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,52.7k
youngyangyang04,https://github.com/youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,44.5k
x64dbg,https://github.com/x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,42.4k
Light-City,https://github.com/Light-City,CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,35.2k
yuzu-emu,https://github.com/yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,32.8k
carbon-language,https://github.com/carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,31.8k
huihut,https://github.com/huihut,interview,https://github.com/huihut/interview,31.6k
CMU-Perceptual-Computing-Lab,https://github.com/CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,29k
microsoft,https://github.com/microsoft,calculator,https://github.com/microsoft/calculator,28.3k
TheAlgorithms,https://github.com/TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,28.1k
doocs,https://github.com/doocs,leetcode,https://github.com/doocs/leetcode,26.8k
changkun,https://github.com/changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,22.5k
dragonflydb,https://github.com/dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,22k
ethereum,https://github.com/ethereum,solidity,https://github.com/ethereum/solidity,21.5k
gabime,https://github.com/gabime,spdlog,https://github.com/gabime/spdlog,21.2k
microsoft,https://github.com/microsoft,vcpkg,https://github.com/microsoft/vcpkg,20.6k
fmtlib,https://github.com/fmtlib,fmt,https://github.com/fmtlib/fmt,18.7k
